time,hr
-355241.7397,86
-351407.9987,67
-351277.3676,141
-350329.6093,112
-313920.7713,83
-313651.8911,65
-313485.2589,74
-313031.6472,89
-312921.3839,81
-312529.2586,77
-312222.0122,158
-311991.4019,68
-311537.6496,66
-311337.6371,82
-311176.2694,88
-310696.8878,83
-310496.8868,74
-310099.6411,81
-309851.0157,79
-309602.3933,90
-309218.3891,77
-308831.5272,97
-308526.5218,86
-308436.8971,89
-307960.3871,91
-307306.9004,73
-307068.6375,65
-306776.5196,79
-306622.7625,83
-306230.5129,66
-306002.2637,97
-305502.5262,79
-305292.2607,94
-304982.15,83
-304853.9048,87
-304428.8964,97
-304275.0172,100
-303765.0195,93
-303508.6528,97
-303159.8924,76
-303044.5123,89
-302567.7644,60
-302390.78,74
-301626.7806,72
-301467.8935,95
-301119.2656,83
-300427.3882,89
-300337.6386,102
-300078.6423,78
-299542.9037,161
-299465.8908,65
-298981.2642,74
-298701.891,83
-298545.5263,86
-298194.2654,75
-297955.8918,88
-276670.0075,115
-276372.644,107
-276072.6357,106
-275808.512,107
-275685.3779,97
-274895.8934,103
-273742.8949,101
-273230.5152,81
-272723.2597,89
-272185.2555,82
-272121.143,60
-271790.6383,101
-271529.3986,103
-269226.7696,83
-268896.2721,90
-268757.7666,101
-268316.8827,104
-268011.7626,93
-267704.0217,97
-267380.8843,97
-267232.1511,90
-265888.641,81
-265793.7758,75
-226928.3015,56
-226667.2952,73
-226328.9296,88
-226218.6669,82
-225959.9188,83
-225537.1794,72
-225099.0377,73
-224555.9224,73
-224220.3043,74
-223628.4222,71
-223536.1681,102
-223016.0515,90
-222913.5464,80
-222539.4152,84
-222144.8007,74
-222062.8007,74
-221675.8084,84
-221186.3083,79
-221094.0529,95
-220627.794,76
-220468.7955,89
-219987.0581,65
-219753.667,98
-219523.0442,70
-219315.4222,89
-218843.9238,82
-218743.935,68
-218423.5611,62
-217744.3048,65
-217344.4237,60
-217041.9277,74
-216680.5573,73
-216442.1733,76
-216247.3016,73
-216006.4234,73
-215650.178,76
-215342.6875,73
-215027.4332,94
-214576.0498,74
-214509.4386,67
-214055.4312,81
-213906.6879,75
-213486.1864,74
-213168.19,84
-212609.0581,89
-212342.3054,91
-211927.0476,90
-211627.1789,78
-211424.6839,65
-210855.8126,95
-210517.4322,81
-210194.312,74
-209935.4341,74
-209566.1892,73
-209253.3053,78
-208891.9274,82
-208469.0527,83
-208089.5633,80
-207840.9275,74
-207493.437,81
-207367.8096,84
-206650.0587,86
-206355.3131,73
-206096.316,102
-205737.4421,79
-205383.5716,74
-205237.4347,76
-204673.3069,68
-204527.1922,69
-204145.0608,75
-203991.1811,67
-203627.312,73
-203211.8227,77
-203014.4319,93
-202860.5726,88
-202437.3126,72
-202047.5715,65
